,Unnamed: 0,transcript
0,0,"I have to say that I'm very encouraged by the underlying momentum across our franchise, notably in several areas where we've been investing."
1,1,Our Fixed Income franchise continued to benefit from strong client engagement across both our corporate
2,2,"As a sign of our commitment to Mexico, a market where we have real scale and confidence in its growth prospects,"
3,3,The amount of outstanding is 2% lower from the prior quarter and 4% down from 1 year ago. That acceleration in the reduction of the amount of outstanding shares is due to the increased amount of buybacks under the capital plan.
4,4,"the uncertainties that color the current economic environment haven't retreated. Brexit, hard, soft or scrambled, is still an open question and is likely to remain so for the near future."
5,5,"And credit costs improved, reflecting a reduction in the provision for benefits and claims due to asset sales in Citi Holdings"
6,6,this comparison includes losses on mark-to-market loan hedges this quarter as compared to gains in the prior year
7,7,"We have spent the last several years reshaping our branch network, upgrading technology and deepening our focus on our core 6 markets,"
8,8,"reflecting a modest reserve build this quarter compared to our release in the prior year, while loss rates remained favorable."
9,9,"And finally, in Latin America, we achieved growth in both purchase sales and average loans this quarter, but revenues remained down 6% versus last year."
10,10,Credit remained broadly favorable again this quarter in every region.
11,11,"When we presented this slide last quarter, our first half EBIT comparison was affected by several factors, including the comparison to much stronger prior year periods in wealth management,"
12,12,We are beginning to lap the impact of our branded cards investments on rebate and rewards costs and saw a full-quarter benefit from the acquisition of the Costco portfolio.
13,13,"However, some of the current quarter reserve builds were related to Costco and the proposed regulatory guidelines I mentioned earlier and shouldn't recur at these levels. So overall,"
14,14,"And we were able to achieve this growth while maintaining our operating discipline, with expenses up just 1% even while we continue to invest in the franchise. The"
15,15,"in comparison to the spread widening we experienced last year, which drove significant gains."
16,16,"And Investment Banking revenue should be broadly stable sequentially, assuming that market conditions remain favorable."
17,17,"profitability is and where it should be. Not sure you're ready to roll out goals for next year yet, but just any guidance there would be great."
18,18,So we don't see any reason to think that we can't eventually get there. I think that the question is
19,19,"And to the latter part of your question or statement, I don't think we're necessarily forecasting that there's a lot more that we need to do from here."
20,20,"to service our clients really no matter what. And when you think about our franchise,"
21,21,we can continue to serve our clients. And we think our structured today gives us time and flexibility.
22,22,in the card space? And does that have an effect on potential returns in that business over the next couple of years?
23,23,And we thought an additional 3 basis point improvement by normalizing average cash balances that we knew that we had a 2 basis point drag
24,24,"as we mentioned in some of our commentary, we took on additional deposits to support client activity, and therefore, we just didn't get the improvement that we were seeking"
25,25,So I still would think that you need to expect some seasonal
26,26,"And cost of credit grew 8% from the third quarter of last year, driven by a larger reserve build."
27,27,enabling us to grow revenues while reducing expenses and significantly improving the profitability of our retail bank.
28,28,"Excluding Costco, we generated 1% underlying revenue growth as we are beginning to lap the investment program we started last year and a portion of the new balances are maturing to full rate."
29,29,"reflecting the addition of the Costco portfolio, which did not incur any losses during the quarter as we had generally excluded late-stage delinquencies from the acquired loans."
30,30,"again, primarily reflecting the impact of seasoning and the proposed regulatory guidelines. Importantly, these NCL rates are consistent with our return goals for each business,"
