F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,label
34.017044,0.08417658,31.83657,34.183376,36.127537,4.290966,94.29006,251.93227,19.027027,9.423837,0.7987632,0.3771513,0.49783325,0.72721475,1.0481625,0.5503292,5.88803,2.6031494,6.129828,3.3031125,0.28718716,0.78362954,9.592789,1.4117019,13.996453,0.9282156,6.813356,1.8635935,1.6407415,7.0542874,0.0106449295,0.9539152,0.7081504,0.8821394,10.362627,0.23823857,11.890139,0.7431281,27.874424,0.23895603,709.56244,0.3281735,1391.6748,0.16600215,-85.58529,-1.0083572,1773.6945,0.13217388,1169.1317,0.30285233,-91.69373,-0.85224634,2771.0732,0.08713972,972.7749,0.32718247,-93.409096,-0.8209934,-17.910433,-0.4425311,27.84297,0.29996476,0.039280467,0.68628114,-0.013773382,-1.2071954,0.35373163,0.6305321,17.914291,0.46858025,21.007927,0.45229757,9.800615,1.430029,0.6234175,21.747017,2.400083,4.445374,0.013021768,0.009660488,0.17004295,3.5035036,2.2132797,0.28,0.19844852,0.1447826,0.18093644,-19.528063,0
35.053566,0.07357345,32.674942,35.3188,36.94604,4.271099,38.850662,45.324055,17.900175,8.842321,0.7945833,0.4003058,0.4912809,0.71887016,1.0545464,0.56326544,6.8279166,3.137853,5.6593356,2.4124994,0.3098762,0.75717825,8.811532,1.5737951,13.357259,0.93007535,5.3196273,2.4504533,0.9800884,10.934015,0.011209431,1.018103,0.758487,0.97066605,10.6147995,0.26061973,13.171767,0.7647957,26.542244,0.3023909,741.4568,0.3300936,1386.3214,0.16203898,-92.27843,-0.9286156,1819.652,0.1339121,1173.6234,0.25665393,-95.01493,-0.82301104,2823.4192,0.08632062,1002.8361,0.28774777,-96.9666,-0.78782827,-17.867254,-0.5175342,28.43645,0.33431494,0.04188113,0.65351385,-0.012777121,-1.1657585,0.3879817,0.5491957,17.60927,0.51785827,20.041887,0.492321,7.805437,1.9543158,-0.48995262,-25.972584,2.2338495,4.476395,0.013253436,0.009551331,0.1791518,3.6036036,2.721774,0.21925926,0.17161383,0.12814814,0.1871232,-18.626339,0
34.533157,0.066964604,32.738728,34.253647,36.351124,3.6123962,104.11205,234.71841,12.392541,3.4667277,0.82238775,0.38858822,0.50217736,0.7615676,1.0688112,0.5666338,7.0080647,3.7685716,4.64231,3.1169648,0.29618755,0.76103806,10.320236,1.3155767,14.460676,0.8673175,6.115021,2.3158743,0.2805278,43.70182,0.0109882895,1.0220095,0.69758475,0.9638936,10.662775,0.22848131,11.171757,0.8180239,26.873394,0.30579868,710.52167,0.32775834,1377.2144,0.15960649,-83.50398,-1.0330976,1798.3347,0.13145502,1098.488,0.23175439,-90.08419,-0.8573966,2813.8796,0.086377084,957.1082,0.28533447,-91.43411,-0.83159524,-18.27684,-0.42091602,27.98814,0.30298766,0.039462216,0.6622385,-0.015435956,-1.0918698,0.35199535,0.6133821,18.158678,0.4876178,20.613155,0.46154752,8.467822,1.8863798,-1.2360357,-11.634761,1.9427811,4.8292108,0.015111971,0.009106824,0.18495126,3.5035036,2.4169185,0.26,0.24993332,0.13913043,0.2094073,-19.06107,0
34.531406,0.08295656,32.512634,34.47378,36.431534,3.9188995,23.09499,19.218758,18.430277,8.502799,0.787316,0.3989851,0.48621073,0.7000905,1.0634367,0.57722604,7.1436024,4.071372,5.717227,2.731747,0.29541975,0.79993355,8.304089,1.7011886,12.709706,0.99343467,5.312295,2.4563105,0.6725478,14.607298,0.012196143,1.2032162,0.77164936,0.81679547,10.315696,0.25688845,12.375997,0.79375017,26.588076,0.30004507,679.3479,0.3567528,1423.2268,0.16822019,-93.753044,-0.9442167,1748.0876,0.13061374,1185.5043,0.27065837,-97.37256,-0.82140434,2758.0486,0.093359195,987.28204,0.3013536,-98.94702,-0.79282075,-17.618826,-0.4898692,28.047392,0.32736617,0.041418646,0.59561545,-0.013336762,-1.1509361,0.38766584,0.5872234,17.643738,0.5312041,20.118689,0.47674337,8.064024,1.8733966,-0.37228397,-31.531713,3.0512443,3.4070153,0.014450088,0.0096621355,0.15456241,3.9473686,2.1660652,0.27055556,0.25833812,0.16157894,0.21288154,-19.36401,0
34.324894,0.07824548,32.404114,34.21336,36.30664,3.9025269,33.02312,53.101192,15.664906,5.384214,0.8154997,0.39277512,0.49991113,0.7660859,1.0450525,0.5451414,6.5056806,3.4767253,5.0163364,3.3167412,0.28657937,0.77472585,10.243192,1.3397323,14.607173,0.9085524,6.758667,2.126645,1.4957333,7.1652575,0.010340865,0.8483935,0.63503736,0.9423164,10.799383,0.2262975,11.420122,0.8803645,27.120827,0.2766042,692.8009,0.3490331,1437.0151,0.16259879,-84.1004,-1.0221477,1764.1722,0.13297717,1163.3918,0.24457945,-89.48012,-0.86757547,2773.7358,0.08928414,996.5162,0.29216775,-91.166466,-0.8354964,-18.838501,-0.42196867,28.871506,0.29185244,0.038827475,0.6337282,-0.012920956,-1.1109457,0.34342715,0.61304104,18.468254,0.45071048,21.667143,0.4425578,10.190483,1.5441145,1.1023116,11.486419,2.734609,3.7725978,0.016137375,0.008612212,0.18066825,3.4871795,1.8556701,0.34444442,0.24826561,0.16473684,0.18882929,-18.652918,0
34.309494,0.08765031,31.875658,34.30696,36.544888,4.6692295,20.674553,11.200998,13.540926,4.451929,0.7823479,0.3782404,0.4865049,0.71906114,1.0283946,0.54188967,6.8909044,3.2838671,5.486569,3.1504436,0.28462484,0.79411757,8.469715,1.6243713,12.214146,1.0554836,4.6593947,2.5228155,1.2173535,8.155237,0.010201776,0.96443456,0.7432069,0.9145782,10.437801,0.24648975,10.888862,0.9364634,27.018547,0.2679763,716.0877,0.32791424,1373.8958,0.15694888,-96.561584,-0.91367394,1780.4668,0.14016639,1150.1754,0.2431552,-100.38149,-0.80175775,2790.8074,0.08681479,1041.6442,0.36637217,-102.2823,-0.76983196,-17.434277,-0.49862462,27.98435,0.3236502,0.04099299,0.54636693,-0.013037284,-1.3721575,0.37126586,0.5773978,17.907951,0.49610525,19.852936,0.51036465,7.824109,1.7311611,-0.11352847,-106.93469,2.4381263,4.041186,0.015154148,0.009584138,0.16189554,3.8709676,2.2702703,0.2495238,0.14843553,0.16272728,0.17133652,-19.582932,0
34.21241,0.085238434,31.993038,33.834118,36.811188,4.8181496,31.90104,44.409275,14.176647,8.11398,0.7966152,0.34731546,0.51353973,0.75350094,1.0168577,0.503318,6.360936,3.4198842,4.9144006,2.633921,0.28124362,0.725162,10.4911785,1.2244853,15.43083,0.8231316,7.8034773,1.6382729,2.6495087,4.213415,0.0104997065,0.9423848,0.68047225,0.902965,10.6615095,0.24452539,12.616194,0.7338637,27.480276,0.23449919,686.8647,0.34644237,1423.1741,0.16186109,-80.65585,-1.044674,1768.4373,0.12764587,1165.4269,0.23754454,-85.673096,-0.8821233,2769.4453,0.08408033,998.2264,0.25777885,-87.21304,-0.8523101,-18.555588,-0.42913,28.492596,0.28974983,0.0387538,0.60789365,-0.011609023,-1.3790807,0.33290493,0.5866363,17.654255,0.45438024,21.822998,0.412854,11.099148,1.2273943,2.3232257,5.5670285,2.03478,4.9441996,0.0138180945,0.009702534,0.1736534,3.9517016,2.0971303,0.31473684,0.24147283,0.1345,0.16974908,-18.931059,0
34.704105,0.07799543,32.44368,34.650475,37.12309,4.679409,19.242018,8.259523,21.736855,9.950521,0.8432329,0.41069666,0.49864697,0.76872444,1.1083763,0.6097293,6.92247,3.5938396,4.863189,3.0625155,0.30550545,0.7572855,10.461085,1.3543918,13.298704,0.9578667,4.3547564,3.2721145,-0.14656006,-78.4864,0.010922007,0.97122115,0.76124173,0.8840582,10.760157,0.23339078,10.872426,0.8514413,26.569925,0.30365738,735.9588,0.33322293,1380.8307,0.15592219,-82.558586,-1.0384043,1794.9614,0.13917243,1148.2814,0.22326346,-87.2117,-0.89568007,2822.3474,0.0868361,1015.4968,0.34576824,-89.80276,-0.8450776,-18.058128,-0.44371334,29.361061,0.2861855,0.042063158,0.59744674,-0.014891798,-1.1256492,0.3768263,0.5847769,18.549744,0.48941588,19.583319,0.48690093,6.088857,2.7017105,-1.2319057,-10.895038,3.3599102,3.1597953,0.014655033,0.009861186,0.16154149,3.5035036,1.711984,0.37941176,0.365537,0.18470588,0.19445604,-18.65281,0
33.96909,0.07447655,32.045155,34.02878,36.324577,4.2794228,12.20616,4.337397,17.048658,7.196293,0.82093495,0.35343555,0.54697245,0.78654623,1.0059255,0.45895308,6.280931,2.0743105,5.3498497,2.6473918,0.29636467,0.7245994,11.662934,1.1151458,16.091743,0.8408187,8.664881,1.4517716,4.5786552,2.1000023,0.008764697,0.85201013,0.6231998,0.926458,10.84644,0.19804658,11.567605,0.8363488,27.843449,0.18889223,687.78357,0.36179522,1444.4216,0.14656746,-76.083305,-1.084584,1762.2985,0.12866275,1142.1007,0.2254883,-81.91614,-0.89901435,2804.6902,0.09728083,999.17316,0.27717787,-84.508835,-0.8486939,-19.500938,-0.39616075,29.891048,0.27807933,0.03775813,0.57464445,-0.011568888,-1.3422551,0.34672806,0.6124583,19.026432,0.36900905,22.159502,0.46999696,11.032571,1.2124803,4.3621855,2.4660223,2.2834888,4.644325,0.010685525,0.010588404,0.18465541,3.7800689,2.253033,0.3023077,0.15748768,0.11214285,0.110465154,-18.396004,0
34.380173,0.08615663,32.41905,34.07095,36.871746,4.4526978,32.993206,40.5873,17.60749,8.584609,0.7813893,0.37865737,0.49943376,0.71908426,0.98587143,0.48643768,6.571063,3.9056282,4.9227967,2.5901513,0.2909248,0.7984166,8.893686,1.4591501,13.016208,1.029689,6.8044105,1.9507325,3.720959,2.4849231,0.010767017,0.9466337,0.7319689,0.9231997,10.607441,0.22936414,13.169669,0.68496394,26.912241,0.27372792,693.30774,0.36419466,1387.4991,0.19426867,-93.68602,-0.9330426,1761.4818,0.13223605,1118.086,0.20768358,-96.47617,-0.82211864,2770.9692,0.08940791,998.93945,0.32411784,-98.29363,-0.79026604,-18.068697,-0.44708878,28.30632,0.29664922,0.035968963,0.6581863,-0.009788417,-1.4470779,0.36190462,0.635306,17.299232,0.47485527,20.506044,0.5112106,10.859466,1.3587799,3.6093724,3.0750234,2.101381,4.75256,0.014658814,0.00849257,0.18092872,3.6802032,2.2988505,0.2572222,0.1790346,0.14894737,0.14359647,-19.487747,0
