F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,label
34.57002,0.07788381,32.49067,34.620968,36.746918,4.2562485,111.15585,275.5984,19.928635,10.331953,0.84427714,0.37113523,0.5454099,0.78964186,1.1029266,0.5575167,6.3884525,2.5706134,6.342825,3.2567465,0.32472962,0.7291064,11.022721,1.2019035,14.022409,0.9040882,6.038871,2.0795352,0.30693093,38.695126,0.011364697,0.9895357,0.7314193,0.8827635,10.396952,0.2545103,11.621465,0.80836236,28.075901,0.25180954,709.6636,0.32328656,1370.9988,0.16540328,-80.58363,-1.0506556,1777.7018,0.1356213,1151.5823,0.29515064,-86.52815,-0.88387835,2779.7715,0.08413005,969.91205,0.3103592,-88.79301,-0.841306,-17.661747,-0.46867394,27.699081,0.31413412,0.04381261,0.58551455,-0.015473831,-1.1269112,0.39052626,0.5972982,18.300476,0.48292133,19.883574,0.48030356,7.648367,1.8188764,-1.6757979,-8.075953,1.6202374,5.435928,0.0107196,0.008533543,0.19319846,4.138852,2.5572007,0.25157893,0.16416498,0.11947368,0.121848635,-18.865387,0
35.03243,0.07915646,32.191666,35.45072,37.11534,4.9236755,42.642193,48.25242,17.036951,8.374681,0.7752137,0.41867003,0.48405117,0.67239285,1.0585133,0.5744621,6.7283473,3.2270865,5.3193183,2.5750608,0.30036032,0.80975395,7.417859,1.9235954,12.47682,1.0221674,4.6894746,2.7393,0.26482764,39.78574,0.010962832,1.082591,0.7565526,0.98373467,10.775486,0.26268455,13.45185,0.7017743,27.162031,0.30142748,747.01624,0.33613548,1385.252,0.16750035,-102.826546,-0.8460451,1834.6989,0.13922471,1163.9948,0.26486096,-104.42472,-0.7690382,2840.3176,0.087006636,1006.5528,0.28021115,-106.21013,-0.7390197,-18.24372,-0.50176924,28.875053,0.320861,0.04309102,0.6661848,-0.013608418,-1.0897579,0.39948162,0.55734766,17.771286,0.5190432,20.852757,0.45636877,7.9572706,1.9517655,-1.3884012,-9.499947,3.067031,3.4961717,0.013624259,0.009912601,0.1596252,3.471295,2.435724,0.22388889,0.15279394,0.15736842,0.21598834,-18.754217,0
34.480927,0.06476909,32.834305,34.301704,36.208225,3.3739204,27.517773,55.274284,17.730324,9.563338,0.79475945,0.35685432,0.5020952,0.7597545,1.0143682,0.51227295,6.1310587,2.9659154,4.4009557,3.116106,0.27730098,0.7658226,9.969217,1.3510144,15.7266,0.8190868,7.8005676,1.7606589,1.2497722,9.798906,0.01003792,0.94547,0.654057,1.0134571,10.899466,0.22054803,12.319164,0.69666535,27.42504,0.31157246,710.20355,0.3329543,1409.1614,0.16230479,-84.505035,-1.0157503,1804.852,0.1331393,1117.2646,0.20522769,-90.998695,-0.8382079,2823.7737,0.09142125,979.01697,0.29431596,-91.83165,-0.82231903,-19.368446,-0.3967022,28.979723,0.29819003,0.03853511,0.692866,-0.013544181,-1.1817669,0.32964236,0.6266818,17.93978,0.4776098,22.78155,0.37762693,10.896759,1.3768176,0.018051121,795.6778,1.9516227,4.8386116,0.014015832,0.009921623,0.18223818,3.471295,2.2849462,0.27647057,0.26957354,0.13277778,0.180641,-18.859499,0
34.531406,0.08295656,32.512634,34.47378,36.431534,3.9188995,23.09499,19.218758,18.430277,8.502799,0.82373327,0.37882772,0.5202999,0.7483495,1.0807445,0.5604446,7.170125,4.0700994,5.717227,2.731747,0.321419,0.73515743,10.436728,1.2815436,14.279357,0.86882955,6.302956,2.128432,0.8184219,12.598631,0.012196143,1.2032162,0.77164936,0.81679547,10.315696,0.25688845,12.375997,0.79375017,26.588076,0.30004507,679.3479,0.3567528,1423.2268,0.16822019,-80.210976,-1.0571443,1748.0876,0.13061374,1185.5043,0.27065837,-85.25483,-0.8888675,2758.0486,0.093359195,987.28204,0.3013536,-87.013405,-0.8533365,-17.618826,-0.4898692,28.047392,0.32736617,0.041418646,0.59561545,-0.013336762,-1.1509361,0.38766584,0.5872234,17.643738,0.5312041,20.118689,0.47674337,8.064024,1.8733966,-0.37228397,-31.531713,1.9154665,4.7649317,0.0121102845,0.00881141,0.18476467,4.4058747,2.419355,0.27055556,0.25833812,0.115789466,0.09004768,-18.890697,0
34.644554,0.072519004,32.747227,34.411797,36.29365,3.5464249,19.275347,11.040649,14.393643,5.5488367,0.8486752,0.40018487,0.5196025,0.794028,1.0907543,0.5711518,7.1556344,3.676122,4.9607477,3.3622162,0.3107079,0.7533122,11.208727,1.213125,14.999538,0.8668523,6.781993,2.2402325,0.89115334,12.551997,0.010390088,0.8384706,0.660191,0.9328949,10.8635025,0.22418953,11.733828,0.90242887,27.110954,0.29906616,698.5158,0.3561668,1434.263,0.16929649,-77.34794,-1.0868495,1763.4684,0.13795169,1179.2682,0.25607127,-83.11329,-0.90809786,2781.5603,0.09080608,984.4752,0.28017414,-85.04665,-0.8688832,-18.601439,-0.42789122,28.895664,0.27872315,0.040771354,0.6166464,-0.012561062,-1.1223083,0.3590321,0.6156255,18.537525,0.4629675,21.138025,0.4542991,9.307436,1.7971448,0.284304,45.40227,2.3700447,4.319097,0.01503978,0.008760822,0.20322016,3.738318,1.8817204,0.35857144,0.26872334,0.14199999,0.17915358,-18.23226,0
34.677788,0.08456628,32.11784,34.908264,37.376293,5.2584534,22.57685,10.732456,13.87473,4.30693,0.80897766,0.37995172,0.48677608,0.7637529,1.0688461,0.58207,7.4587893,3.3675544,5.530894,3.1631305,0.30390528,0.76412064,9.614001,1.4269098,12.98082,0.9777924,4.666505,2.5692456,0.57122743,18.016615,0.01045242,0.96323,0.7353273,0.90854704,10.60529,0.23984331,10.730163,0.96697676,26.981937,0.2732561,734.9009,0.31283972,1361.5131,0.14147009,-89.345665,-0.97019255,1795.2787,0.1354009,1122.5457,0.22889763,-93.374535,-0.84600526,2816.0808,0.08252438,1042.5505,0.36447948,-95.71723,-0.8045766,-17.629307,-0.4886313,28.367458,0.3206826,0.04247329,0.5323415,-0.013749057,-1.2711444,0.38237423,0.5676525,18.0561,0.49144486,19.563791,0.5103353,7.046971,1.9314548,-0.7903928,-15.55221,2.5305924,3.969478,0.016936427,0.009583136,0.16724399,4.138852,2.2880216,0.2652941,0.15782036,0.1517647,0.16981773,-19.120295,0
34.246502,0.0835103,32.10263,33.751522,36.97307,4.8704376,29.670958,46.465935,14.466856,8.668311,0.7895326,0.321273,0.53716046,0.75621796,1.0063517,0.46919125,5.699547,2.754795,4.840061,2.2902813,0.28374314,0.69735676,10.709257,1.1697617,16.161316,0.79080844,8.884144,1.3253889,3.390677,3.137864,0.0106985895,0.96439725,0.6600125,0.86597425,10.731819,0.24259043,12.399073,0.6702826,27.434742,0.23544821,698.4401,0.34443423,1429.8673,0.1679209,-79.442116,-1.0428321,1784.4534,0.12665305,1177.8738,0.24213722,-84.77419,-0.8785504,2776.43,0.08622333,1007.86725,0.25110042,-86.12416,-0.8525922,-19.13262,-0.41248724,28.872368,0.28802338,0.037579495,0.5706,-0.011371944,-1.4322286,0.33005708,0.5679562,17.507698,0.450568,22.702278,0.37209573,12.440592,0.9493457,3.2292106,3.7780437,1.7734135,5.190177,0.013516982,0.009703554,0.18471701,4.539386,2.1505377,0.310625,0.248834,0.12588234,0.1515822,-18.785858,0
34.987717,0.08418935,32.38405,35.398182,37.75576,5.3717117,17.717058,9.803066,21.57535,8.994133,0.8229323,0.4398486,0.4836625,0.7303422,1.0905514,0.6068889,6.6710696,3.8640225,5.0909243,3.5416324,0.29939878,0.8228923,8.5887375,1.69745,11.439896,1.1096271,3.2870054,4.306636,-0.68463653,-16.650976,0.010223737,0.9684223,0.7494214,0.9297164,10.911881,0.23080611,11.001574,0.8479911,26.36458,0.29093403,756.76825,0.31816113,1383.1348,0.15394886,-96.78569,-0.9105032,1820.4147,0.13711636,1137.2377,0.21824238,-99.5884,-0.8153792,2847.0337,0.08625358,1049.4928,0.3620535,-101.78317,-0.7760597,-18.009977,-0.46206093,29.339409,0.2981899,0.043361645,0.561745,-0.016238807,-1.0549012,0.39567253,0.59634817,18.540651,0.50295454,18.812561,0.5196526,4.955358,3.4577823,-2.5244622,-5.460713,3.5294535,2.8652503,0.014398723,0.009619967,0.15481675,3.2042725,1.884253,0.30571428,0.13441482,0.205,0.20872915,-18.726536,0
33.96909,0.07447655,32.045155,34.02878,36.324577,4.2794228,12.20616,4.337397,17.048658,7.196293,0.82093495,0.35343555,0.54697245,0.78654623,1.0059255,0.45895308,6.280931,2.0743105,5.3498497,2.6473918,0.29636467,0.7245994,11.662934,1.1151458,16.091743,0.8408187,8.664881,1.4517716,4.5786552,2.1000023,0.008764697,0.85201013,0.6231998,0.926458,10.84644,0.19804658,11.567605,0.8363488,27.843449,0.18889223,687.78357,0.36179522,1444.4216,0.14656746,-76.083305,-1.084584,1762.2985,0.12866275,1142.1007,0.2254883,-81.91614,-0.89901435,2804.6902,0.09728083,999.17316,0.27717787,-84.508835,-0.8486939,-19.500938,-0.39616075,29.891048,0.27807933,0.03775813,0.57464445,-0.011568888,-1.3422551,0.34672806,0.6124583,19.026432,0.36900905,22.159502,0.46999696,11.032571,1.2124803,4.3621855,2.4660223,2.2834888,4.644325,0.010685525,0.010588404,0.18465541,3.7800689,2.253033,0.3023077,0.15748768,0.11214285,0.110465154,-18.396004,0
34.380173,0.08615663,32.41905,34.07095,36.871746,4.4526978,32.993206,40.5873,17.60749,8.584609,0.7976701,0.36922807,0.5179924,0.73315406,1.0074127,0.4894203,6.775102,3.9671524,4.852578,2.4658363,0.30235016,0.769464,9.881855,1.2695702,13.741295,0.9716157,7.3665104,1.8147624,3.9547865,2.3791163,0.010767017,0.9466337,0.7319689,0.9231997,10.607441,0.22936414,13.169669,0.68496394,26.912241,0.27372792,693.30774,0.36419466,1387.4991,0.19426867,-87.593956,-0.9810018,1761.4818,0.13223605,1118.086,0.20768358,-90.99711,-0.8525007,2770.9692,0.08940791,998.93945,0.32411784,-92.909836,-0.81744814,-18.068697,-0.44708878,28.30632,0.29664922,0.035968963,0.6581863,-0.009788417,-1.4470779,0.36190462,0.635306,17.299232,0.47485527,20.506044,0.5112106,10.859466,1.3587799,3.6093724,3.0750234,1.5930777,5.330917,0.014049015,0.008136606,0.19668098,3.8718293,2.419355,0.2572222,0.1790346,0.12842105,0.13223834,-19.269173,0
